brand,name,size(g),price,unit_price
Popchips,"Ridges Potato Chips, Tangy BBQ",85,3.28,3.8588235294117643
President's Choice,"Kettle Cooked Potato Chips, Original",220,1.68,0.7636363636363637
Doritos,"Tortilla Chips, Sweet Chili Heat!",255,3.18,1.2470588235294118
Sunchips,"Multigrain Snacks, Harvest Cheddar",225,3.67,1.631111111111111
Munchies,"Snacks, Snack Mix Original",1100,7.28,0.6618181818181819
The Good Bean,Sea Salt Chick Peas Snack,170,4.98,2.9294117647058826
President's Choice,"Thick Cut Potato Chips, Sour Cream & Dill",200,1.68,0.84
Terra,"Vegetable Chips, Mediterranean",170,3.98,2.3411764705882354
President's Choice,Sweet & Heat Popcorn,220,2.48,1.1272727272727272
Lay's,"Poppables Potato Chips, Sea Salt",141,2.47,1.75177304964539
,Cheetos Snowflakes Snacks,180,3.27,1.8166666666666669
Fortress,"Hoops Corn Snacks, Bar-B-Q",370,3.78,1.0216216216216216
Lay's,"Potato Chips, Lightly Salted",255,2.47,0.9686274509803923
Lay's,"Potato Chips, Smokey Bacon",255,3.18,1.2470588235294118
Humpty Dumpty,Original Party Mix Snack XXXL,640,6.28,0.98125
No Name,"Potato Chips, Regular",200,1.18,0.59
Kettle,"Krinkle Cut Potato Chips, Salt & Pepper",220,2.48,1.1272727272727272
No Name,"Potato Crisps, Regular",150,1.28,0.8533333333333334
Lay's,"Potato Chips, Classic",255,2.47,0.9686274509803923
Miss Vickies,"Kettle Cooked Potato Chips, Parmesan & Roasted Garlic",220,3.97,1.8045454545454545
Doritos,"Tortilla Chips, Bold BBQ",255,3.18,1.2470588235294118
Miss Vickies,"Kettle Cooked Potato Chips, Original Recipe",220,3.97,1.8045454545454545
Kettle,"Chips, Avocado Chili Lime",170,2.48,1.4588235294117646
President's Choice,Multigrain Premium Tortilla Chips,240,2.98,1.2416666666666667
Pringles,Dill Pickle Flavour Potato Chips,156,1.88,1.205128205128205
Pringles,Reduced Fat Original,139,1.88,1.3525179856115108
Lay's,"Frito Classic Mix, 4 Flavour 18 bag - Variety pack",504,6.98,1.384920634920635
Old Dutch,"Dutch Crunch Kettle Chips, Jalapeno & Cheddar",200,3.28,1.6399999999999997
Pringles,Mega Can Original Flavour,194,2.98,1.536082474226804
Miss Vickies,"Kettle Cooked Potato Chips, Applewood Smoked BBQ",220,3.97,1.8045454545454545
Lay's,"Wavy Potato Chips, Sour Cream & Sriracha",240,3.18,1.3250000000000002
,"Potato Chips, Cheese",160,1.98,1.2375
Paqui,Haunted Ghost Pepper Tortilla Chips,155,4.48,2.8903225806451616
President's Choice,Loads Of Barbecue Flavour Rippled Potato Chips,200,1.68,0.84
No Name,"Potato Chips, Sour Cream & Onion",750,4.98,0.6640000000000001
Lay's,"Wavy Potato Chips, Original",450,4.58,1.017777777777778
Paldo,Seaweed Snack Almond Flavour,18,3.99,22.166666666666668
Lay's,"Potato Chips, Bar-B-Q",255,2.47,0.9686274509803923
Lay's,"Potato Chips, Grilled Cheese",240,2.47,1.0291666666666668
Doritos,"Tortilla Chips, Cool Ranch",255,3.18,1.2470588235294118
Six Fortune,Lobster Flavour Chips,160,3.97,2.48125
Old Dutch,"Potato Chips, Sour Cream & Onion",255,3.48,1.3647058823529412
Miss Vickies,"Kettle Cooked Potato Chips, Lime & Black Pepper",220,3.97,1.8045454545454545
Enjoy Life,"Plentils Lentil Chips, Sea Salt",113,3.98,3.5221238938053094
Jack n' Jill,"Jack'N Jill Piattos, Cheese",212,2.98,1.4056603773584906
Old Dutch,"Tortilla Chips, Sea Salt & Hint of Lime",310,3.28,1.0580645161290323
President's Choice,Smokin' Stampede Chips,200,1.88,0.9399999999999998
Kettle,"Kettle Chips, Yogurt & Green Onion",220,2.48,1.1272727272727272
,Potato Chips,150,1.98,1.32
Pringles,Salt & Vinegar Flavour Potato Chips,156,1.88,1.205128205128205
Old Dutch,"Potato Chips, Regular",220,2.88,1.309090909090909
,Takis Explosion Chips,280,3.68,1.3142857142857143
Que Pasa,Blue Corn Tortilla Chips,350,2.98,0.8514285714285714
Que Pasa,Organic Vegan Jalape̱o & Lime Tortilla Chips,156,3.48,2.230769230769231
,"Potato Chips, BBQ",160,1.98,1.2375
Que Pasa,Organic Vegan Nacho Tortilla Chips,156,3.48,2.230769230769231
Christie,"Bits & Bites, Cheddar ",175,2.27,1.2971428571428572
Miss Vickies,"Kettle Cooked Potato Chips, Sea Salt & Malt Vinegar",66,1.48,2.242424242424242
Pringles,Snack Stacks Original,228,5.98,2.6228070175438596
Lay's,Wavy Lightly Salted Chips,255,2.47,0.9686274509803923
Munchies,"Snacks, Snack Mix Original",450,4.58,1.017777777777778
No Name,"Potato Crisps, Sour Cream and Onion",142,1.28,0.9014084507042254
,Takis Fajitas Chips,280,3.68,1.3142857142857143
Old Dutch,Arriba Nacho Cheese Flavour Tortilla Chips,245,3.28,1.3387755102040817
